CustomerID,Lookalikes
C0052,"[('C0132', 0.9987837352720489), ('C0062', 0.996209656296089), ('C0193', 0.9928229588817256)]"
C0053,"[('C0087', 0.9992276101047616), ('C0082', 0.9977010419103385), ('C0054', 0.9957497894042454)]"
C0054,"[('C0188', 0.9981284914299836), ('C0105', 0.9966234680295118), ('C0087', 0.9962843752349958)]"
C0055,"[('C0174', 0.9997958802407253), ('C0076', 0.9946230178722782), ('C0157', 0.9883901057349123)]"
C0056,"[('C0189', 0.9831512532221025), ('C0191', 0.9787845288009969), ('C0088', 0.9758311955945969)]"
C0057,"[('C0046', 0.9996389891526571), ('C0104', 0.9983786038785469), ('C0145', 0.9979510211140422)]"
C0058,"[('C0015', 0.9999874168608283), ('C0131', 0.9999687170123), ('C0005', 0.9997982043779898)]"
C0059,"[('C0105', 0.9993444111343724), ('C0013', 0.9992581092102039), ('C0099', 0.9986438845289701)]"
C0060,"[('C0033', 0.9999747781569308), ('C0014', 0.9994214836893801), ('C0186', 0.9992468806238046)]"
C0061,"[('C0178', 0.9969974775283509), ('C0042', 0.9964811872293461), ('C0123', 0.9963803324420021)]"
C0062,"[('C0132', 0.9985342968903701), ('C0133', 0.9977821083568882), ('C0144', 0.9969146113849086)]"
C0063,"[('C0130', 0.999913292163949), ('C0150', 0.9999005750333624), ('C0095', 0.9998044451426168)]"
C0064,"[('C0011', 0.9760655386675109), ('C0096', 0.9672076810011121), ('C0171', 0.9636033420442475)]"
C0065,"[('C0156', 0.9994269802892355), ('C0068', 0.9992535058504215), ('C0057', 0.9976530668945867)]"
C0066,"[('C0185', 0.9825206586581641), ('C0040', 0.9615477839546696), ('C0026', 0.9489893422348923)]"
C0067,"[('C0021', 0.9976725127995537), ('C0108', 0.9941715907500573), ('C0093', 0.9789687878047258)]"
C0068,"[('C0156', 0.9999609626563939), ('C0065', 0.9992535058504215), ('C0101', 0.9962896707883689)]"
C0069,"[('C0103', 0.9947449490429876), ('C0191', 0.9932529857013821), ('C0164', 0.9822751092430132)]"
C0070,"[('C0052', 0.9825181189574316), ('C0092', 0.9724596356697409), ('C0132', 0.9721440847414051)]"
C0071,"[('C0035', 0.9985280133720289), ('C0043', 0.9980973626444783), ('C0186', 0.9956560750929263)]"
C0072,"[('C0106', 0.9996272080162312), ('C0086', 0.9965432448458499), ('C0038', 0.9954611828691479)]"
C0073,"[('C0144', 0.9991295419761776), ('C0062', 0.995211318156566), ('C0197', 0.994307785773962)]"
C0074,"[('C0050', 0.9999816009505565), ('C0115', 0.9993256266839958), ('C0044', 0.991677613004948)]"
C0075,"[('C0195', 0.9987564541175958), ('C0004', 0.9976740652389241), ('C0113', 0.9972807457274828)]"
C0076,"[('C0157', 0.998760393240857), ('C0174', 0.9954433701203219), ('C0055', 0.9946230178722782)]"
C0077,"[('C0031', 0.9970313428116165), ('C0199', 0.9943841119119432), ('C0032', 0.9932237445416674)]"
C0078,"[('C0167', 0.9990933464415988), ('C0080', 0.9989554130779413), ('C0123', 0.9987342356398529)]"
C0079,"[('C0006', 0.9998795967431424), ('C0196', 0.9939739111961085), ('C0117', 0.9866368739182297)]"
C0080,"[('C0167', 0.9999415242502645), ('C0020', 0.9998945211239678), ('C0078', 0.9989554130779413)]"
C0081,"[('C0179', 0.9944386982050264), ('C0008', 0.9926519091915025), ('C0024', 0.985681025184257)]"
C0082,"[('C0188', 0.9977784528598865), ('C0053', 0.9977010419103385), ('C0054', 0.9949173018402848)]"
C0083,"[('C0192', 0.9985396436161125), ('C0032', 0.9985099582817061), ('C0043', 0.9958393601793084)]"
C0084,"[('C0017', 0.9960896356490084), ('C0162', 0.9955806948864657), ('C0124', 0.9932306298144647)]"
C0085,"[('C0125', 0.9981033539477413), ('C0135', 0.9978725543133264), ('C0042', 0.9965262500841998)]"
C0086,"[('C0038', 0.9999262965153445), ('C0030', 0.9993424345497313), ('C0106', 0.9984399421672585)]"
C0087,"[('C0053', 0.9992276101047616), ('C0102', 0.9982867962073989), ('C0054', 0.9962843752349958)]"
C0088,"[('C0189', 0.9993058760888502), ('C0157', 0.9970980083831096), ('C0076', 0.9926508961779691)]"
C0089,"[('C0092', 0.9901051427841268), ('C0007', 0.9897049517672641), ('C0074', 0.9887353835323333)]"
C0090,"[('C0008', 0.98792990302146), ('C0179', 0.9844535460738311), ('C0084', 0.9830529201735775)]"
C0091,"[('C0134', 0.8620459577861526), ('C0136', 0.8468532214434857), ('C0034', 0.8252277669640248)]"
C0092,"[('C0089', 0.9901051427841268), ('C0070', 0.9724596356697409), ('C0193', 0.9697954447195369)]"
C0093,"[('C0173', 0.994422252901814), ('C0122', 0.9932222940727183), ('C0108', 0.9918113622018543)]"
C0094,"[('C0121', 0.997638885918245), ('C0029', 0.9951410750871293), ('C0002', 0.9935549754103509)]"
C0095,"[('C0150', 0.9998163463378835), ('C0063', 0.9998044451426168), ('C0130', 0.9997644323434668)]"
C0096,"[('C0171', 0.9995482474631716), ('C0170', 0.9970164583995582), ('C0037', 0.9936356466770982)]"
C0097,"[('C0186', 0.9997357914307273), ('C0131', 0.9995584107206125), ('C0015', 0.9994818221670599)]"
C0098,"[('C0161', 0.9999827345653998), ('C0147', 0.9989865572314744), ('C0024', 0.9782826240632324)]"
C0099,"[('C0104', 0.9997735388232178), ('C0059', 0.9986438845289701), ('C0046', 0.998469872671448)]"
C0100,"[('C0023', 0.9990482771647566), ('C0051', 0.985132949060113), ('C0126', 0.9760619030684009)]"
C0101,"[('C0145', 0.9988175711821506), ('C0153', 0.9981948822807982), ('C0057', 0.9975878978222579)]"
C0102,"[('C0153', 0.9992207032936594), ('C0145', 0.9983135516449643), ('C0087', 0.9982867962073989)]"
C0103,"[('C0069', 0.9947449490429876), ('C0164', 0.9938688462323367), ('C0191', 0.9762127402215305)]"
C0104,"[('C0099', 0.9997735388232178), ('C0046', 0.9989919821323953), ('C0057', 0.9983786038785469)]"
C0105,"[('C0059', 0.9993444111343724), ('C0099', 0.9981037758124742), ('C0013', 0.9977518717942889)]"
C0106,"[('C0072', 0.9996272080162312), ('C0086', 0.9984399421672585), ('C0038', 0.9976884516787112)]"
C0107,"[('C0016', 0.9642876834861008), ('C0183', 0.9077958644601039), ('C0048', 0.9074404123151198)]"
C0108,"[('C0021', 0.9991587931178615), ('C0122', 0.994590540026918), ('C0067', 0.9941715907500573)]"
C0109,"[('C0195', 0.9973640042307664), ('C0124', 0.9932788704241241), ('C0075', 0.9928523910335559)]"
C0110,"[('C0020', 0.998833777486242), ('C0080', 0.9984966128404693), ('C0129', 0.9984783204702027)]"
C0111,"[('C0160', 0.9957971968797839), ('C0190', 0.992043903748434), ('C0134', 0.9514546164763905)]"
C0112,"[('C0036', 0.9996897941191084), ('C0159', 0.999353420015359), ('C0014', 0.9991378069765814)]"
C0113,"[('C0039', 0.9993948473477124), ('C0195', 0.9973819542402744), ('C0075', 0.9972807457274828)]"
C0114,"[('C0149', 0.9985756944320245), ('C0200', 0.9985220981722699), ('C0148', 0.9974452402552026)]"
C0115,"[('C0050', 0.9995299823160765), ('C0074', 0.9993256266839958), ('C0044', 0.9942133530242266)]"
C0116,"[('C0172', 0.9648673794171682), ('C0019', 0.9583927127074583), ('C0127', 0.9343376308325152)]"
C0117,"[('C0006', 0.9890464129049237), ('C0079', 0.9866368739182297), ('C0196', 0.9847718312066863)]"
C0118,"[('C0184', 0.9773796504174594), ('C0127', 0.9614756012574158), ('C0154', 0.9502545485179246)]"
C0119,"[('C0191', 0.9886235192798519), ('C0189', 0.9852962508183923), ('C0088', 0.9848101588149889)]"
C0120,"[('C0193', 0.999942242524016), ('C0129', 0.9986973533727229), ('C0110', 0.9962143790938846)]"
C0121,"[('C0094', 0.997638885918245), ('C0025', 0.990838535904538), ('C0029', 0.9899438994066134)]"
C0122,"[('C0173', 0.9979310830278962), ('C0155', 0.9964279904656567), ('C0108', 0.994590540026918)]"
C0123,"[('C0005', 0.9997057571026509), ('C0058', 0.9990258559068913), ('C0015', 0.9987955139680346)]"
C0124,"[('C0017', 0.9977055542411001), ('C0109', 0.9932788704241241), ('C0084', 0.9932306298144647)]"
C0125,"[('C0085', 0.9981033539477413), ('C0140', 0.9977988646183344), ('C0042', 0.997462071577244)]"
C0126,"[('C0100', 0.9760619030684009), ('C0023', 0.9705354145169133), ('C0051', 0.9625397513224013)]"
C0127,"[('C0184', 0.9896749045814267), ('C0118', 0.9614756012574158), ('C0116', 0.9343376308325152)]"
C0128,"[('C0198', 0.99960155888018), ('C0186', 0.9990422239828639), ('C0097', 0.9989178008433386)]"
C0129,"[('C0133', 0.9991270343634221), ('C0120', 0.9986973533727229), ('C0110', 0.9984783204702027)]"
C0130,"[('C0150', 0.9999946592992364), ('C0063', 0.999913292163949), ('C0095', 0.9997644323434668)]"
C0131,"[('C0015', 0.9999953416670492), ('C0058', 0.9999687170123), ('C0005', 0.999623252489687)]"
C0132,"[('C0052', 0.9987837352720489), ('C0062', 0.9985342968903701), ('C0129', 0.9973248998319048)]"
C0133,"[('C0129', 0.9991270343634221), ('C0110', 0.9981442355358443), ('C0062', 0.9977821083568882)]"
C0134,"[('C0190', 0.9707675503299076), ('C0160', 0.9583069530574803), ('C0111', 0.9514546164763905)]"
C0135,"[('C0085', 0.9978725543133264), ('C0042', 0.9923072497602722), ('C0125', 0.9920363951019869)]"
C0136,"[('C0169', 0.9920905494699366), ('C0039', 0.9818009294631757), ('C0113', 0.9767187251591336)]"
C0137,"[('C0152', 0.9867456824939336), ('C0164', 0.981716885891417), ('C0001', 0.962080832605305)]"
C0138,"[('C0114', 0.9427263451478821), ('C0163', 0.93508329376663), ('C0148', 0.9350388518890508)]"
C0139,"[('C0024', 0.9850687693224673), ('C0194', 0.9775604724671388), ('C0098', 0.9739429157466039)]"
C0140,"[('C0007', 0.9985337287784547), ('C0078', 0.9984196999439928), ('C0125', 0.9977988646183344)]"
C0141,"[('C0013', 0.9978361389320974), ('C0059', 0.99618490025893), ('C0105', 0.9959194014226903)]"
C0142,"[('C0166', 0.9974632397124412), ('C0031', 0.9909771867009421), ('C0002', 0.9908212161927282)]"
C0143,"[('C0028', 0.997728226489831), ('C0012', 0.9943529139337497), ('C0053', 0.9919263039417021)]"
C0144,"[('C0073', 0.9991295419761776), ('C0197', 0.9976663936882258), ('C0062', 0.9969146113849086)]"
C0145,"[('C0153', 0.9991074840543365), ('C0101', 0.9988175711821506), ('C0046', 0.9983405235130687)]"
C0146,"[('C0178', 0.9957532644676301), ('C0177', 0.9903747512656885), ('C0009', 0.9888169324261717)]"
C0147,"[('C0161', 0.9991499113998602), ('C0098', 0.9989865572314744), ('C0047', 0.9834000609118444)]"
C0148,"[('C0163', 0.9999038772928879), ('C0200', 0.9995362671827128), ('C0182', 0.9994780726163182)]"
C0149,"[('C0200', 0.9994915105693416), ('C0114', 0.9985756944320245), ('C0148', 0.9980582766422965)]"
C0150,"[('C0130', 0.9999946592992364), ('C0063', 0.9999005750333624), ('C0095', 0.9998163463378835)]"
C0151,"[('C0036', 0.9989237500866023), ('C0197', 0.9988177923852323), ('C0112', 0.9981619131720234)]"
C0152,"[('C0137', 0.9867456824939336), ('C0164', 0.9450110130492825), ('C0001', 0.9084832590995425)]"
C0153,"[('C0102', 0.9992207032936594), ('C0145', 0.9991074840543365), ('C0101', 0.9981948822807982)]"
C0154,"[('C0184', 0.9607343991893419), ('C0118', 0.9502545485179246), ('C0127', 0.9110449066460151)]"
C0155,"[('C0022', 0.9965705788327003), ('C0122', 0.9964279904656567), ('C0104', 0.9948697663776779)]"
C0156,"[('C0068', 0.9999609626563939), ('C0065', 0.9994269802892355), ('C0101', 0.9968746131997397)]"
C0157,"[('C0076', 0.998760393240857), ('C0088', 0.9970980083831096), ('C0189', 0.9952098731930062)]"
C0158,"[('C0044', 0.9486884666936487), ('C0066', 0.9353750228154993), ('C0115', 0.9143555879893535)]"
C0159,"[('C0095', 0.9996194930521275), ('C0063', 0.9993737738693709), ('C0112', 0.999353420015359)]"
C0160,"[('C0190', 0.9986176133055223), ('C0111', 0.9957971968797839), ('C0134', 0.9583069530574803)]"
C0161,"[('C0098', 0.9999827345653998), ('C0147', 0.9991499113998602), ('C0024', 0.977106465110193)]"
C0162,"[('C0017', 0.9977685065474171), ('C0175', 0.996789306253334), ('C0084', 0.9955806948864657)]"
C0163,"[('C0148', 0.9999038772928879), ('C0182', 0.9997209397711123), ('C0200', 0.9990433102682007)]"
C0164,"[('C0103', 0.9938688462323367), ('C0069', 0.9822751092430132), ('C0137', 0.981716885891417)]"
C0165,"[('C0018', 0.9846269845769469), ('C0028', 0.9751331674004343), ('C0169', 0.9704392044547727)]"
C0166,"[('C0142', 0.9974632397124412), ('C0077', 0.9897558326497123), ('C0031', 0.9881084625099423)]"
C0167,"[('C0080', 0.9999415242502645), ('C0020', 0.9996792207434816), ('C0078', 0.9990933464415988)]"
C0168,"[('C0079', 0.9463223459188946), ('C0006', 0.9411927791050689), ('C0196', 0.9325249212024846)]"
C0169,"[('C0039', 0.9923616672095557), ('C0136', 0.9920905494699366), ('C0113', 0.9874985602153257)]"
C0170,"[('C0171', 0.9987723509476414), ('C0037', 0.9987509243101383), ('C0096', 0.9970164583995582)]"
C0171,"[('C0096', 0.9995482474631716), ('C0170', 0.9987723509476414), ('C0037', 0.996565270758588)]"
C0172,"[('C0019', 0.9869730973269422), ('C0116', 0.9648673794171682), ('C0056', 0.9463599625623412)]"
C0173,"[('C0122', 0.9979310830278962), ('C0065', 0.9973244498563147), ('C0156', 0.9947263726387975)]"
C0174,"[('C0055', 0.9997958802407253), ('C0076', 0.9954433701203219), ('C0157', 0.9898984404184921)]"
C0175,"[('C0162', 0.996789306253334), ('C0017', 0.9955292508946392), ('C0004', 0.9940844827669524)]"
C0176,"[('C0070', 0.9720566799242998), ('C0027', 0.9652204092763008), ('C0073', 0.9637802287557594)]"
C0177,"[('C0009', 0.9963247565166135), ('C0128', 0.9962677020728647), ('C0198', 0.9957532156229322)]"
C0178,"[('C0061', 0.9969974775283509), ('C0146', 0.9957532644676301), ('C0177', 0.9945235984991873)]"
C0179,"[('C0008', 0.9965086350321659), ('C0081', 0.9944386982050264), ('C0194', 0.985637339559907)]"
C0181,"[('C0081', 0.9563820965402646), ('C0008', 0.9533913429145503), ('C0049', 0.9509578691890133)]"
C0182,"[('C0163', 0.9997209397711123), ('C0148', 0.9994780726163182), ('C0200', 0.9985341736870733)]"
C0183,"[('C0048', 0.9999996415286145), ('C0187', 0.9865003910103195), ('C0107', 0.9077958644601039)]"
C0184,"[('C0127', 0.9896749045814267), ('C0118', 0.9773796504174594), ('C0154', 0.9607343991893419)]"
C0185,"[('C0115', 0.9852246725529188), ('C0066', 0.9825206586581641), ('C0050', 0.9808330455428488)]"
C0186,"[('C0097', 0.9997357914307273), ('C0033', 0.999258030192148), ('C0060', 0.9992468806238046)]"
C0187,"[('C0048', 0.9866160870141506), ('C0183', 0.9865003910103195), ('C0064', 0.8475087329496442)]"
C0188,"[('C0054', 0.9981284914299836), ('C0082', 0.9977784528598865), ('C0053', 0.9947878863793502)]"
C0189,"[('C0088', 0.9993058760888502), ('C0157', 0.9952098731930062), ('C0076', 0.9909993169244614)]"
C0190,"[('C0160', 0.9986176133055223), ('C0111', 0.992043903748434), ('C0134', 0.9707675503299076)]"
C0191,"[('C0069', 0.9932529857013821), ('C0119', 0.9886235192798519), ('C0056', 0.9787845288009969)]"
C0192,"[('C0083', 0.9985396436161125), ('C0009', 0.9983620640345526), ('C0032', 0.9941621476502767)]"
C0193,"[('C0120', 0.999942242524016), ('C0129', 0.9981548906023089), ('C0132', 0.9960714621913512)]"
C0194,"[('C0024', 0.9919556361367864), ('C0179', 0.985637339559907), ('C0139', 0.9775604724671388)]"
C0195,"[('C0075', 0.9987564541175958), ('C0113', 0.9973819542402744), ('C0109', 0.9973640042307664)]"
C0196,"[('C0006', 0.9942428517003664), ('C0079', 0.9939739111961085), ('C0117', 0.9847718312066863)]"
C0197,"[('C0151', 0.9988177923852323), ('C0144', 0.9976663936882258), ('C0036', 0.9955189398628648)]"
C0198,"[('C0128', 0.99960155888018), ('C0131', 0.998969962990671), ('C0015', 0.9988586714703079)]"
C0199,"[('C0032', 0.9986191725163621), ('C0025', 0.9970906821018459), ('C0083', 0.9955984795159962)]"
C0200,"[('C0148', 0.9995362671827128), ('C0149', 0.9994915105693416), ('C0163', 0.9990433102682007)]"
